Bubble Sort,10000,0.114741
Bubble Sort,100000,14.211810
Bubble Sort,1000000,1421.181000
Quick Sort,10000,0.000735
Quick Sort,100000,0.008179
Quick Sort,1000000,0.091054
Stooge Sort,10000,131.282383
Stooge Sort,100000,65564.809383
Stooge Sort,1000000,13086788.300000
Radix Sort,10000,0.000415
Radix Sort,100000,0.003471
Radix Sort,1000000,0.035257
Merge Sort,10000,0.001225
Merge Sort,100000,0.013945
Merge Sort,1000000,0.160114
Bitonic Sort,10000,0.002479
Bitonic Sort,100000,0.030544
Bitonic Sort,1000000,0.402061
